AAMC,Altisource Asset Management Corp Com,$21.99,-0.06,-0.272%,36288162.00,United States,,1796,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.7187,-0.0263,-3.53%,86638287.00,Canada,2015,4394805,Basic Industries,Precious Metals
ACU,Acme United Corporation. Common Stock,$31.72,-1.60,-4.802%,105910320.00,United States,1988,17595,Capital Goods,Industrial Machinery/Components
ACY,AeroCentury Corp. Common Stock,$9.52,-0.73,-7.122%,14716816.00,United States,,107469,Technology,Diversified Commercial Services
AE,Adams Resources & Energy Inc. Common Stock,$24.88,0.01,0.04%,105548026.00,United States,,3079,Energy,Oil Refining/Marketing
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.62,-0.05,-0.577%,437480326.00,United States,,74877,,
AGE,AgeX Therapeutics Inc. Common Stock,$2.10,0.04,1.942%,79151199.00,,2018,503313,Health Care,Major Pharmaceuticals
AIM,AIM ImmunoTech Inc. Common Stock,$2.75,0.67,32.212%,109147533.00,United States,,52694060,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$7.94,0.41,5.445%,20278141.00,United States,2014,18990,Consumer Services,Professional Services
AIRI,Air Industries Group Common Stock,$1.73,0.19,12.338%,54892476.00,United States,,1787666,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$3.65,0.96,35.688%,84735976.00,China,,12414377,Consumer Services,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.95,0.21,12.069%,360857250.00,United States,,5291480,Health Care,Major Pharmaceuticals
AMS,American Shared Hospital Services Common Stock,$2.83,0.31,12.302%,16303630.00,United States,,573508,Health Care,Medical Specialities
ANVS,Annovis Bio Inc. Common Stock,$19.56,1.39,7.65%,134799852.00,United States,2020,3445371,Health Care,Major Pharmaceuticals
APT,Alpha Pro Tech Ltd. Common Stock,$16.47,-0.49,-2.889%,223627107.00,Canada,,835503,Health Care,Industrial Specialties
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.76,-0.09,-1.538%,107722846.00,United States,,75413,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$1.41,-0.03,-2.083%,126291842.00,Canada,,6224478,Basic Industries,Precious Metals
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$9.49,0.32,3.49%,128936122.00,United States,,503196,Health Care,Major Pharmaceuticals
AUMN,Golden Minerals Company Common Stock,$0.82,-0.0507,-5.823%,124240375.00,United States,,3768497,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$3.51,0.12,3.54%,13602763.00,United States,,54316,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.82,-0.16,-5.369%,394134316.00,Canada,,1597137,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$7.90,-0.11,-1.373%,128011339.00,,,6844,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$33.43,0.33,0.997%,178014449.00,United States,,27757,,
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.85,0.00,0.00%,,United States,,16,,
BDL,Flanigan's Enterprises Inc. Common Stock,$24.354,0.104,0.429%,45265489.00,United States,,838,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.72,0.14,8.861%,19907992.00,United States,,2896955,Technology,Radio And Television Broadcasting And Communications Equipment
BGI,Birks Group Inc. Common Stock,$1.45,0.09,6.618%,26057777.00,Canada,,506170,Consumer Services,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$23.69,1.17,5.195%,353657705.00,United States,,25883,Finance,Major Banks
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$8.70,0.35,4.192%,350834695.00,,2018,62666,Basic Industries,Agricultural Chemicals
BKTI,BK Technologies Corporation Common Stock,$3.40,0.03,0.89%,42540684.00,United States,,11345,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$14.43,0.93,6.889%,176050358.00,,2018,95552,Finance,Major Banks
BRBS,Blue Ridge Bankshares Inc. Common Stock,$19.23,0.18,0.945%,109969082.00,,,19462,Finance,Major Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$11.24,0.39,3.594%,268047957.00,,2014,345352,Consumer Services,Real Estate Investment Trusts
BRG^A,Bluerock Residential Growth REIT Inc. 8.250% Series A Cumulative Redeemable Preferred Stock ($0.01 par value per share),$25.29,0.02,0.079%,,,,9725,,
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.51,-0.105,-0.41%,,,,1300,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.85,0.20,0.78%,,,,1551,,
BRN,Barnwell Industries Inc. Common Stock,$2.77,-0.09,-3.147%,22927733.00,United States,,159040,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.98,-0.11,-2.161%,5231949046.00,Canada,,8242623,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$2.39,-0.55,-18.707%,35348994.00,United States,,3209254,Miscellaneous,Industrial Machinery/Components
BWL/A,Bowl America Inc.,$10.20,0.20,2.00%,,United States,,2162,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.06,-0.04,-1.905%,31752803.00,Israel,,614975,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$106.15,1.66,1.589%,1002734405.00,United States,,12211,Consumer Durables,Building Products
CDOR,Condor Hospitality Trust Inc. Common Stock,$5.25,-0.11,-2.052%,63079354.00,United States,,18906,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$1.44,-0.01,-0.69%,36000000.00,United States,,2359795,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$34.45,0.40,1.175%,888365940.00,United States,,17290,,
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$13.65,-0.05,-0.365%,97373299.00,United States,1999,28025,,
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$10.55,0.05,0.476%,113711118.00,,2020,1988,Finance,Business Services
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$10.38,0.03,0.29%,123874920.00,,2021,7791,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.26,0.01,0.308%,170514069.00,United States,,857575,,
CIX,CompX International Inc. Common Stock,$14.05,0.03,0.214%,174938756.00,United States,1998,2054,Capital Goods,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$10.8973,0.4273,4.081%,21167951.00,United States,,1137,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$12.38,-1.09,-8.092%,942378265.00,United States,1987,7238157,,
CMCL,Caledonia Mining Corporation Plc Common Shares,$15.48,0.11,0.716%,187599380.00,Canada,,63032,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$12.85,0.05,0.391%,102438568.00,United States,,20309,Consumer Non-Durables,Plastic Products
COHN,Cohen & Company Inc.,$18.74,-0.1976,-1.043%,25005101.00,United States,,9200,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.85,0.12,16.438%,38742623.00,China,,9989324,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$39.50,0.09,0.228%,19118775109.00,United States,2007,126899,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$12.29,-0.89,-6.753%,494504619.00,United States,,3977715,,
CRHM,CRH Medical Corporation Common Shares of Beneficial Interest,$2.22,0.045,2.069%,158537046.00,,2015,135047,Health Care,Medical/Nursing Services
CTEK,CynergisTek Inc. Common Stock,$2.2147,0.0247,1.128%,23591093.00,United States,2017,101464,Miscellaneous,Business Services
CVM,Cel-Sci Corporation Common Stock,$20.97,0.43,2.093%,833922399.00,United States,,969582,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$25.70,0.00,0.00%,24829592.00,United States,,1978,Technology,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$4.77,0.65,15.777%,57007563.00,United States,,651973,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.32,0.02,0.87%,240137173.00,United States,1998,1710966,,
DIT,AMCON Distributing Company Common Stock,$110.00,-4.90,-4.265%,60650590.00,United States,,61,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$22.52,0.31,1.396%,157069343.00,United States,,9275,Consumer Non-Durables,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$8.88,0.00,0.00%,184267086.00,United States,1988,31973,,
DNN,Denison Mines Corp Ordinary Shares (Canada),$0.75,0.015,2.041%,509062364.00,Canada,,3417413,Basic Industries,Precious Metals
DPW,Ault Global Holdings Inc. Common Stock,$4.77,0.11,2.361%,132384491.00,United States,,7755296,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$4.33,-0.05,-1.142%,58467462.00,United States,,2954101,Consumer Durables,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.48,0.04,2.778%,30894806.00,China,,359071,Finance,Finance: Consumer Services
DXR,Daxor Corporation Common Stock,$13.70,0.84,6.532%,54987827.00,United States,,3290,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.24,0.04,0.488%,499230403.00,United States,2003,180906,,
ECF,Ellsworth Growth and Income Fund Ltd.,$15.46,0.23,1.51%,204150181.00,United States,1986,120786,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.44,-0.01,-0.074%,967050793.00,United States,2002,82403,,
ELA,Envela Corporation Common Stock,$6.17,0.14,2.322%,166123431.00,United States,,49229,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$33.50,0.00,0.00%,423845149.00,Israel,,190,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$10.24,-0.01,-0.098%,88127283.00,United States,2011,50077,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$2.90,0.18,6.618%,195748846.00,United States,,2299816,Technology,Semiconductors
EMX,EMX Royalty Corporation Common Shares (Canada),$3.51,-0.08,-2.228%,296024485.00,Canada,,253662,Basic Industries,Precious Metals
ENSV,Enservco Corporation Common Stock,$2.28,0.10,4.587%,11724916.00,United States,,3426912,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$12.30,0.07,0.572%,222855016.00,United States,2002,6627,,
EPM,Evolution Petroleum Corporation Inc. Common Stock,$3.50,-0.08,-2.235%,115338430.00,United States,,149797,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$9.62,0.04,0.418%,2326791074.00,Canada,,1919804,Basic Industries,Precious Metals
ERC,Wells Fargo Multi-Sector Income Fund Common Stock no par value,$12.39,0.04,0.324%,348556570.00,United States,2003,109672,,
ERH,Wells Fargo Utilities and High Income Fund,$12.9101,0.0301,0.234%,119742017.00,,2004,13279,,
ESP,Espey Mfg. & Electronics Corp. Common Stock,$19.339,0.129,0.672%,52266220.00,United States,,1914,Capital Goods,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$30.33,0.39,1.303%,163300936.00,United States,,11430,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$38.76,3.44,9.74%,511974290.00,United States,,22645,Consumer Services,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$11.55,0.02,0.173%,288684615.00,United States,2002,62600,,
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$12.63,0.02,0.159%,1466936837.00,United States,2003,363287,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$14.08,0.13,0.932%,76057738.00,United States,1999,7933,,
EXN,Excellon Resources Inc. Common Shares,$3.03,-0.01,-0.329%,97169070.00,,2020,75339,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.48,0.01,0.224%,1109677045.00,United States,1986,1162970,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.00,0.02,0.251%,69847568.00,United States,1992,39248,,
FEN,First Trust Energy Income and Growth Fund,$11.84,-0.11,-0.921%,237046686.00,United States,2004,126509,,
FRD,Friedman Industries Inc. Common Stock,$7.28,-0.1207,-1.631%,51279840.00,United States,,14059,Capital Goods,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.63,-0.035,-0.955%,44433178.00,Canada,,51508,Basic Industries,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$4.18,0.08,1.951%,448631872.00,United States,,453767,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.41,-0.02,-0.212%,283606437.00,United States,2003,108714,,
FTSI,FTS International Inc. Class A Common Stock,$18.19,-0.22,-1.195%,254658654.00,United States,2020,70605,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.57,-0.09,-5.422%,184983455.00,,2020,598075,Basic Industries,Precious Metals
GAU,Galiano Gold Inc.,$1.22,0.02,1.667%,273558797.00,Canada,,2594260,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$6.88,-0.52,-7.027%,35307713.00,United States,,814130,Energy,Oil & Gas Production
GDP,Goodrich Petroleum Corporation Common Stock,$10.14,0.14,1.40%,128329660.00,United States,2017,26512,Energy,Oil & Gas Production
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.47,-0.02,-0.573%,572242839.00,United States,2005,833543,,
GLDG,GoldMining Inc. Common Shares,$1.80,-0.03,-1.639%,265732549.00,,,789876,Basic Industries,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$12.40,0.09,0.731%,399582709.00,United States,2006,217535,,
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$15.21,0.14,0.929%,201240909.00,United States,2005,95435,,
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$18.8701,-0.1499,-0.788%,101399954.00,United States,2004,10606,,
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$46.52,0.00,0.00%,,United States,,5,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$52.28,0.201,0.386%,,United States,,500,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$10.93,-0.06,-0.546%,91896423.00,United States,2004,49217,,
GOED,1847 Goedeker Inc. Commom Stock,$12.40,0.36,2.99%,75778880.00,United States,2020,29182,Consumer Services,Home Furnishings
GORO,Gold Resource Corporation Common Stock,$2.95,-0.02,-0.673%,212003803.00,United States,,1002825,Basic Industries,Precious Metals
GPL,Great Panther Mining Limited Ordinary Shares (Canada),$0.827,-0.0135,-1.606%,293359905.00,Canada,,3373890,Basic Industries,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$7.8101,-0.0099,-0.127%,31820854.00,United States,,2880,,
GSAT,Globalstar Inc. Common Stock,$1.10,0.02,1.852%,1837445803.00,United States,2006,15325764,Consumer Services,Telecommunications Equipment
GSS,Golden Star Resources Ltd Common Stock,$3.74,-0.04,-1.058%,416115545.00,United States,,337313,Basic Industries,Precious Metals
GSV,Gold Standard Ventures Corporation Common Stock (Canada),$0.695,0.0114,1.668%,219038702.00,Canada,,2789924,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GTE,Gran Tierra Energy Inc. Common Stock,$0.6307,-0.0174,-2.685%,231455267.00,Canada,,22810972,Energy,Oil & Gas Production
HLM^,Hillman Group Capital Trust Preferred Stock,$25.45,0.04,0.157%,,United States,,8855,,
HMG,HMG/Courtland Properties Inc. Common Stock,$12.25,0.00,0.00%,12338788.00,United States,,2,Consumer Services,Real Estate Investment Trusts
HNW,Pioneer Diversified High Income Trust Pioneer Diversified High Income Trust Common Shares of Beneficial Interest,$14.70,0.02,0.136%,122492013.00,United States,2007,41517,,
HUSA,Houston American Energy Corporation Common Stock,$2.39,0.15,6.696%,16676746.00,United States,,2368288,Energy,Oil & Gas Production
IAF,Aberdeen Australia Equity Fund Inc Common Stock,$5.37,-0.05,-0.923%,124189310.00,United States,,62093,,
IBIO,iBio Inc. Common Stock,$2.39,0.22,10.138%,516263735.00,United States,,60279057,Health Care,Major Pharmaceuticals
ID,PARTS iD Inc. Class A Common Stock,$7.91,0.35,4.63%,260029053.00,United States,2017,31874,Technology,Advertising
IGC,India Globalization Capital Inc. Common Stock,$2.02,0.04,2.02%,86424417.00,United States,,12523771,Technology,Electronic Components
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$3.05,0.02,0.66%,28286386.00,United States,,44108,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$3.65,0.06,1.671%,77488978.00,United States,1997,85936,Consumer Services,Real Estate Investment Trusts
IMO,Imperial Oil Limited Common Stock,$20.25,0.40,2.015%,14865054289.00,Canada,,944879,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$6.46,0.0586,0.915%,47855389.00,,2019,209302,Energy,Oil & Gas Production
